,RMSE,R2
Linear Regression,0.002067817123924495,0.9999999730241373
Random Forest,0.05117946296402555,0.9999834749593581
XGBoost,1.3050975497826005,0.9892542362213135
LightGBM,0.5601262417177411,0.9980206484899042
